accountCode,accountName,accountType,normalBalance,parentAccountCode,isActive
4602,ภาษีมูลค่าเพิ่มค้างจ่าย,LIABILITY,CREDIT,,true
4611,ภาษีเงินได้พนักงาน หัก ณ.ที่จ่ายค้างจ่าย,LIABILITY,CREDIT,,true
4612,ภาษีเงินได้ หัก ณ.ที่จ่ายค้างจ่าย,LIABILITY,CREDIT,,true
4613,ภาษีเงินได้นิติบุคคลค้างจ่าย,LIABILITY,CREDIT,,true
4621,ภาษีอากรอื่น ๆ ค้างจ่าย,LIABILITY,CREDIT,,true
4631,ประกันสังคมค้างจ่าย,LIABILITY,CREDIT,,true
4701,เงินกู้ยืมระยะยาวจากบุคคลหรือกิจการที่เกี่ยวข้องกัน,LIABILITY,CREDIT,,true
4801,เจ้าหนี้ตามสัญญาเช่าทางการเงิน,LIABILITY,CREDIT,,true
4901,ภาระผูกพันผลประโยชน์พนักงาน,LIABILITY,CREDIT,,true
4911,ประมาณการหนี้สินระยะยาว,LIABILITY,CREDIT,,true
5001,รายได้จากการขาย,REVENUE,CREDIT,,true
5002,รายได้จากการให้เช่าเครื่องจักรและอุปกรณ์,REVENUE,CREDIT,,true
5003,รายได้จากค่าบริการอื่น ๆ,REVENUE,CREDIT,,true
5101,สินค้ารับคืนและส่วนลด,REVENUE,CREDIT,,true
6001,ต้นทุนขาย-เครื่องจักรและอุปกรณ์,EXPENSE,DEBIT,,true
6002,ต้นทุนขาย-ลูกกุญแจ,EXPENSE,DEBIT,,true
6003,ต้นทุนขาย-วัสดุรองเท้า,EXPENSE,DEBIT,,true
6004,ต้นทุนขาย-แม่กุญแจ,EXPENSE,DEBIT,,true
6005,ต้นทุนขาย-เบ็ดเตล็ด,EXPENSE,DEBIT,,true
6006,ต้นทุนขาย-วัสดุสิ้นเปลือง,EXPENSE,DEBIT,,true
6021,ต้นทุนขาย-ชิ้นส่วนและอะไหล่,EXPENSE,DEBIT,,true
6031,ต้นทุนขาย-ชิ้นส่วนและอะไหล่,EXPENSE,DEBIT,,true
6051,ซื้อวัสดุและอุปกรณ์,EXPENSE,DEBIT,,true
6052,สินค้าส่งคืนและส่วนลด,EXPENSE,DEBIT,,true
6061,ค่าแรง,EXPENSE,DEBIT,,true
6091,ค่าเผื่อสินค้าล้าสมัย,EXPENSE,DEBIT,,true
6101,ค่าเช่าและค่าบริการ - ร้านที่จำหน่ายสินค้า,EXPENSE,DEBIT,,true
6111,ค่าไฟ - ร้านที่จำหน่ายสินค้า,EXPENSE,DEBIT,,true
6121,ค่าภาษีโรงเรือน - ร้านที่จำหน่ายสินค้า,EXPENSE,DEBIT,,true
6131,ค่าประกันภัย - ร้านที่จำหน่ายสินค้า,EXPENSE,DEBIT,,true
6141,ค่าโทรศัพท์ - ร้านที่จำหน่ายสินค้า,EXPENSE,DEBIT,,true
6151,ค่าใช้จ่ายทางการเงิน - ร้านที่จำหน่ายสินค้า,EXPENSE,DEBIT,,true
6161,ค่าใช้จ่ายอื่น ๆ - ร้านที่จำหน่ายสินค้า,EXPENSE,DEBIT,,true
6171,ค่าใช้จ่ายร้านที่ให้เช่าเครื่องจักร,EXPENSE,DEBIT,,true
6201,เงินเดือน และค่าจ้าง,EXPENSE,DEBIT,,true
6211,ผลตอบแทนจากยอดขาย,EXPENSE,DEBIT,,true
6221,เงินที่จ่ายสมทบเข้าประกันสังคม,EXPENSE,DEBIT,,true
6231,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับพนักงานขาย,EXPENSE,DEBIT,,true
6241,ค่าฝึกอบรมพนักงานขาย,EXPENSE,DEBIT,,true
6251,ผลประโยชน์พนักงาน,EXPENSE,DEBIT,,true
6261,ค่าพาหนะ ค่าใช้จ่ายในการเดินทาง และค่าที่พัก - พนักงานขาย,EXPENSE,DEBIT,,true
6301,ค่าโฆษณาและส่งเสริมการขาย,EXPENSE,DEBIT,,true
6401,ค่าเสื่อมราคา - เครื่องจักรและอุปกรณ์ในการดำเนินงาน,EXPENSE,DEBIT,,true
6402,ค่าเสื่อมราคา - เครื่องตกแต่งในการดำเนินงาน,EXPENSE,DEBIT,,true
6411,ค่าเสื่อมราคา - สิ่งปรับปรุงสินทรัพย์ - สาขา,EXPENSE,DEBIT,,true
6412,ค่าเสื่อมราคา - ร้านที่ให้เช่าเครื่องจักร,EXPENSE,DEBIT,,true
6421,ค่าตัดจำหน่าย,EXPENSE,DEBIT,,true
6501,ค่าวัสดุใช้สิ้นเปลือง,EXPENSE,DEBIT,,true
6502,ค่าซ่อมแซมรักษา,EXPENSE,DEBIT,,true
6503,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการขาย,EXPENSE,DEBIT,,true
6510,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการให้เช่าเครื่องจักร,EXPENSE,DEBIT,,true
6601,เงินเดือน และค่าจ้าง,EXPENSE,DEBIT,,true
6621,เงินที่จ่ายสมทบเข้าประกันสังคม,EXPENSE,DEBIT,,true
6631,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับพนักงานสำนักงาน,EXPENSE,DEBIT,,true
6641,ค่าฝึกอบรมพนักงานสำนักงาน,EXPENSE,DEBIT,,true
6651,ผลประโยชน์พนักงาน,EXPENSE,DEBIT,,true
