account_code,account_name,inferred_type,inferred_group,parent_note
2261,ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ในการดำเนินงาน,ASSET,NON_CURRENT_ASSET,from TB row order; no explicit parent id
2262,ค่าเสื่อมราคาสะสม - เครื่องตกแต่งในการดำเนินงาน,ASSET,NON_CURRENT_ASSET,from TB row order; no explicit parent id
2271,ค่าเสื่อมราคาสะสม - เครื่องใช้และอุปกรณ์สำนักงาน,ASSET,NON_CURRENT_ASSET,from TB row order; no explicit parent id
2272,ค่าเสื่อมราคาสะสม - เครื่องตกแต่งสำนักงาน,ASSET,NON_CURRENT_ASSET,from TB row order; no explicit parent id
2273,ค่าเสื่อมราคาสะสม - รถยนต์,ASSET,NON_CURRENT_ASSET,from TB row order; no explicit parent id
2281,ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่,ASSET,NON_CURRENT_ASSET,from TB row order; no explicit parent id
2282,ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สาขา,ASSET,NON_CURRENT_ASSET,from TB row order; no explicit parent id
2285,ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร,ASSET,NON_CURRENT_ASSET,from TB row order; no explicit parent id
2286,ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร,ASSET,NON_CURRENT_ASSET,from TB row order; no explicit parent id
3001,เงินประกันและเงินมัดจำ,ASSET,OTHER_ASSET,from TB row order; no explicit parent id
3101,สิทธิการเช่า,ASSET,OTHER_ASSET,from TB row order; no explicit parent id
3201,ดอกเบี้ยรอการตัดบัญชี,ASSET,OTHER_ASSET,from TB row order; no explicit parent id
3301,ภาษีเงินได้ถูกหักภาษี ณ. ที่จ่าย (รอขอคืนจากกรมสรรพากร),ASSET,OTHER_ASSET,from TB row order; no explicit parent id
4001,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4002,ตั๋วเงินจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4101,เจ้าหนี้การค้า,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4151,เจ้าหนี้บริษัทที่เกี่ยวข้องกัน,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4201,เงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4202,เงินกู้ยืมระยะสั้นจากบุคคลหรือกิจการที่เกี่ยวข้องกัน,LIABILITY,LIABILITY,from TB row order; no explicit parent id
4301,เงินปันผลค้างจ่าย,LIABILITY,LIABILITY,from TB row order; no explicit parent id
