entity,sourceCode,sourceName,accountType,normalBalance,isActive,migrationStatus,confidence,notes
ASAS,2232,สิ่งปรับปรุงสินทรัพย์-สาขา,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,2235,เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,2236,สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,2240,เครื่องจักรและอุปกรณ์ระหว่างทาง,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,2251,ค่าเสื่อมราคาสะสม - อาคาร,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,2261,ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ในการดำเนินงาน,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,2262,ค่าเสื่อมราคาสะสม - เครื่องตกแต่งในการดำเนินงาน,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,2271,ค่าเสื่อมราคาสะสม - เครื่องใช้และอุปกรณ์สำนักงาน,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,2272,ค่าเสื่อมราคาสะสม - เครื่องตกแต่งสำนักงาน,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,2273,ค่าเสื่อมราคาสะสม - รถยนต์,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,2281,ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สำนักงานใหญ่,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,2282,ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ - สาขา,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,2285,ค่าเสื่อมราคาสะสม - เครื่องจักรและอุปกรณ์ร้านที่ให้เช่าเครื่องจักร,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,2286,ค่าเสื่อมราคาสะสม - สิ่งปรับปรุงสินทรัพย์ร้านที่ให้เช่าเครื่องจักร,ASSET,CREDIT,true,REVIEW_REQUIRED,LOW,Contra-asset; v0 ASSET=DEBIT validator conflict
ASAS,3001,เงินประกันและเงินมัดจำ,ASSET,DEBIT,true,MIGRATE,HIGH,Non-zero
ASAS,3101,สิทธิการเช่า,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,3201,ดอกเบี้ยรอการตัดบัญชี,ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,3301,ภาษีเงินได้ถูกหักภาษี ณ. ที่จ่าย (รอขอคืนจากกรมสรรพากร),ASSET,DEBIT,true,MIGRATE,HIGH,Zero
ASAS,4001,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4002,ตั๋วเงินจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4101,เจ้าหนี้การค้า,LIABILITY,CREDIT,true,MIGRATE,HIGH,Non-zero
ASAS,4151,เจ้าหนี้บริษัทที่เกี่ยวข้องกัน,LIABILITY,CREDIT,true,MIGRATE,HIGH,Non-zero
ASAS,4201,เงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4202,เงินกู้ยืมระยะสั้นจากบุคคลหรือกิจการที่เกี่ยวข้องกัน,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
ASAS,4301,เงินปันผลค้างจ่าย,LIABILITY,CREDIT,true,MIGRATE,HIGH,Zero
