Branch,ReceiptNo,SaleDate,Gross,CalculatedNet,CalculatedVAT,COGS,Tender,Status,SkipReason
SH010,REC-SH010-202602-0001,2026-02-01,2040.00,1906.54,133.46,,,SKIPPED,PERIOD_NOT_OPENED
SH028,REC-SH028-202602-0001,2026-02-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202602-0001,2026-02-01,380.00,355.14,24.86,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202602-0002,2026-02-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202602-0001,2026-02-01,370.00,345.79,24.21,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202602-0001,2026-02-01,580.00,542.06,37.94,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202602-0002,2026-02-01,1380.00,1289.72,90.28,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202602-0002,2026-02-01,470.00,439.25,30.75,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202602-0003,2026-02-01,60.00,56.07,3.93,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202602-0004,2026-02-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202602-0001,2026-02-01,1560.00,1457.94,102.06,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202602-0003,2026-02-01,2760.00,2579.44,180.56,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202602-0001,2026-02-01,280.00,261.68,18.32,,,SKIPPED,PERIOD_NOT_OPENED
SH028,REC-SH028-202602-0002,2026-02-01,2830.00,2644.86,185.14,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202602-0002,2026-02-01,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202602-0003,2026-02-01,240.00,224.30,15.70,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202602-0004,2026-02-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202602-0005,2026-02-01,100.00,93.46,6.54,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202602-0006,2026-02-01,3950.00,3691.59,258.41,,,SKIPPED,PERIOD_NOT_OPENED
