Branch,ReceiptNo,SaleDate,Gross,CalculatedNet,CalculatedVAT,COGS,Tender,Status,SkipReason
SH001,REC-SH001-202603-0001,2026-03-01,3120.00,2915.89,204.11,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202603-0001,2026-03-01,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202603-0002,2026-03-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0001,2026-03-01,3210.00,3000.00,210.00,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202603-0001,2026-03-01,1760.00,1644.86,115.14,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0002,2026-03-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202603-0002,2026-03-01,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202603-0001,2026-03-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202603-0003,2026-03-01,2760.00,2579.44,180.56,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202603-0003,2026-03-01,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202603-0002,2026-03-01,430.00,401.87,28.13,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202603-0004,2026-03-01,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202603-0004,2026-03-01,290.00,271.03,18.97,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0003,2026-03-01,325.00,303.74,21.26,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0004,2026-03-01,680.00,635.51,44.49,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202603-0005,2026-03-01,320.00,299.07,20.93,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202603-0001,2026-03-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202603-0002,2026-03-01,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202603-0006,2026-03-01,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0005,2026-03-01,780.00,728.97,51.03,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202603-0007,2026-03-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202603-0002,2026-03-01,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202603-0001,2026-03-01,460.00,429.91,30.09,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0006,2026-03-01,1870.00,1747.66,122.34,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202603-0003,2026-03-01,460.00,429.91,30.09,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202603-0003,2026-03-01,240.00,224.30,15.70,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0007,2026-03-01,310.00,289.72,20.28,,,SKIPPED,PERIOD_NOT_OPENED
SH028,REC-SH028-202603-0001,2026-03-01,4030.00,3766.36,263.64,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202603-0005,2026-03-01,1600.00,1495.33,104.67,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0008,2026-03-01,1560.00,1457.94,102.06,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202603-0004,2026-03-01,1650.00,1542.06,107.94,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202603-0002,2026-03-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202603-0003,2026-03-01,240.00,224.30,15.70,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202603-0006,2026-03-01,1230.00,1149.53,80.47,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202603-0007,2026-03-01,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0009,2026-03-01,2460.00,2299.07,160.93,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202603-0003,2026-03-01,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202603-0004,2026-03-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202603-0008,2026-03-01,3090.00,2887.85,202.15,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202603-0005,2026-03-01,460.00,429.91,30.09,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202603-0006,2026-03-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202603-0005,2026-03-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202603-0010,2026-03-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202603-0007,2026-03-01,1230.00,1149.53,80.47,,,SKIPPED,PERIOD_NOT_OPENED
