Branch,ReceiptNo,SaleDate,Gross,CalculatedNet,CalculatedVAT,COGS,Tender,Status,SkipReason
SH010,REC-SH010-202601-0001,2026-01-01,240.00,224.30,15.70,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0001,2026-01-01,3940.00,3682.24,257.76,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0002,2026-01-01,650.00,607.48,42.52,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202601-0002,2026-01-01,520.00,485.98,34.02,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0001,2026-01-01,1630.00,1523.36,106.64,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0003,2026-01-01,1580.00,1476.64,103.36,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0002,2026-01-01,6300.00,5887.85,412.15,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0003,2026-01-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0001,2026-01-01,280.00,261.68,18.32,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202601-0003,2026-01-01,180.00,168.22,11.78,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202601-0001,2026-01-01,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0002,2026-01-01,190.00,177.57,12.43,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0004,2026-01-01,550.00,514.02,35.98,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0004,2026-01-01,310.00,289.72,20.28,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202601-0001,2026-01-01,1560.00,1457.94,102.06,,,SKIPPED,PERIOD_NOT_OPENED
SH028,REC-SH028-202601-0001,2026-01-01,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH030,REC-SH030-202601-0001,2026-01-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH028,REC-SH028-202601-0002,2026-01-01,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0001,2026-01-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH030,REC-SH030-202601-0002,2026-01-01,325.00,303.74,21.26,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202601-0004,2026-01-01,1650.00,1542.06,107.94,,,SKIPPED,PERIOD_NOT_OPENED
SH028,REC-SH028-202601-0003,2026-01-01,1580.00,1476.64,103.36,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0003,2026-01-01,100.00,93.46,6.54,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0005,2026-01-01,130.00,121.50,8.50,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0002,2026-01-01,620.00,579.44,40.56,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202601-0002,2026-01-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0003,2026-01-01,2460.00,2299.07,160.93,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0004,2026-01-01,320.00,299.07,20.93,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0006,2026-01-01,60.00,56.07,3.93,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202601-0002,2026-01-01,60.00,56.07,3.93,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0007,2026-01-01,1710.00,1598.13,111.87,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0008,2026-01-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0005,2026-01-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0005,2026-01-01,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202601-0005,2026-01-01,310.00,289.72,20.28,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202601-0003,2026-01-01,280.00,261.68,18.32,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202601-0003,2026-01-01,410.00,383.18,26.82,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0009,2026-01-01,1380.00,1289.72,90.28,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0006,2026-01-01,240.00,224.30,15.70,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0007,2026-01-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0008,2026-01-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0004,2026-01-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0009,2026-01-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202601-0004,2026-01-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH028,REC-SH028-202601-0004,2026-01-01,1580.00,1476.64,103.36,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0010,2026-01-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0005,2026-01-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0010,2026-01-01,840.00,785.05,54.95,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202601-0004,2026-01-01,600.00,560.75,39.25,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202601-0005,2026-01-02,180.00,168.22,11.78,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0006,2026-01-02,540.00,504.67,35.33,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0006,2026-01-02,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0007,2026-01-02,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202601-0006,2026-01-02,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0008,2026-01-02,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH030,REC-SH030-202601-0003,2026-01-02,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202601-0007,2026-01-02,240.00,224.30,15.70,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0007,2026-01-02,2460.00,2299.07,160.93,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0011,2026-01-02,4140.00,3869.16,270.84,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0012,2026-01-02,1250.00,1168.22,81.78,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0013,2026-01-02,180.00,168.22,11.78,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0014,2026-01-02,1320.00,1233.64,86.36,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0008,2026-01-02,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202601-0005,2026-01-02,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0009,2026-01-02,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0011,2026-01-02,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0012,2026-01-02,460.00,429.91,30.09,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202601-0006,2026-01-02,560.00,523.36,36.64,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202601-0008,2026-01-02,190.00,177.57,12.43,,,SKIPPED,PERIOD_NOT_OPENED
SH024,REC-SH024-202601-0007,2026-01-02,140.00,130.84,9.16,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0009,2026-01-02,380.00,355.14,24.86,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0015,2026-01-02,400.00,373.83,26.17,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0010,2026-01-02,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0013,2026-01-02,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0016,2026-01-02,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0010,2026-01-02,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0014,2026-01-02,680.00,635.51,44.49,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202601-0009,2026-01-02,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202601-0017,2026-01-02,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202601-0010,2026-01-02,120.00,112.15,7.85,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0011,2026-01-02,460.00,429.91,30.09,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202601-0015,2026-01-02,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202601-0011,2026-01-02,460.00,429.91,30.09,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202601-0012,2026-01-02,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202601-0006,2026-01-02,60.00,56.07,3.93,,,SKIPPED,PERIOD_NOT_OPENED
