Branch,ReceiptNo,SaleDate,Gross,CalculatedNet,CalculatedVAT,COGS,Tender,Status,SkipReason
SH010,REC-SH010-202604-0001,2026-04-01,330.00,308.41,21.59,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202604-0001,2026-04-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202604-0001,2026-04-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH026,REC-SH026-202604-0001,2026-04-01,5140.00,4803.74,336.26,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202604-0002,2026-04-01,960.00,897.20,62.80,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202604-0002,2026-04-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202604-0002,2026-04-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202604-0001,2026-04-01,325.00,303.74,21.26,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202604-0003,2026-04-01,1380.00,1289.72,90.28,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202604-0003,2026-04-01,3780.00,3532.71,247.29,,,SKIPPED,PERIOD_NOT_OPENED
SH010,REC-SH010-202604-0004,2026-04-01,1970.00,1841.12,128.88,,,SKIPPED,PERIOD_NOT_OPENED
SH001,REC-SH001-202604-0004,2026-04-01,580.00,542.06,37.94,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202604-0003,2026-04-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH006,REC-SH006-202604-0002,2026-04-01,160.00,149.53,10.47,,,SKIPPED,PERIOD_NOT_OPENED
SH012,REC-SH012-202604-0004,2026-04-01,60.00,56.07,3.93,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202604-0001,2026-04-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
SH025,REC-SH025-202604-0002,2026-04-01,80.00,74.77,5.23,,,SKIPPED,PERIOD_NOT_OPENED
